,Symbol
0,CTAS
1,VZ
2,GME
3,POM
4,AMZN
5,CNP
6,CAT
7,AAPL
8,BF-B
9,ZNGA
10,PM
11,TEL
12,PLL
13,CMCSA
14,GRMN
15,SE
16,AGN
17,CAH
18,CBG
19,WPX
20,TROW
21,HRS
22,PX
23,ADT
24,ANF
25,FSLR
26,GMCR
27,PFE
28,MAR
29,VRSN
30,FITB
31,ABC
32,KMI
33,SD
34,SYK
35,LTD
36,MMC
37,CELG
38,TIF
39,CNX
40,CBS
41,ZLC
42,PEP
43,TIBX
44,PLD
45,GOOG
46,MMM
47,EMN
48,PCG
49,AMT
50,ADI
51,HCBK
52,MAS
53,ANN
54,CAG
55,MGM
56,MAT
57,UA
58,VLO
59,UPS
60,GAS
61,GNW
62,MHFI
63,CME
64,JWN
65,EMR
66,OKE
67,SYY
68,GILD
69,SNA
70,MS
71,WMT
72,RTN
73,HOV
74,TWX
75,JCP
76,ALXN
77,DG
78,CVX
79,NU
80,VALE
81,MO
82,TXN
83,KLAC
84,UNM
85,INTC
86,BK
87,BLL
88,JDSU
89,NI
90,HP
91,GT
92,TWC
93,GS
94,BLK
95,LOW
96,MA
97,CVC
98,BIG
99,DF
100,SNI
101,DFS
102,PRU
103,CTSH
104,BCR
105,SHW
106,MCHP
107,APOL
108,APC
109,LLL
110,VTR
111,XRX
112,GPS
113,HIG
114,MU
115,TXT
116,ETFC
117,PDCO
118,APD
119,HD
120,FIS
121,IPG
122,ESV
123,UNP
124,DO
125,AMAT
126,LLY
127,JNPR
128,RRC
129,NTAP
130,HCN
131,MSI
132,AKAM
133,SNDK
134,RSG
135,IR
136,HAL
137,FLWS
138,BBRY
139,DISCA
140,EW
141,LMT
142,PETS
143,LM
144,CI
145,PPL
146,WFM
147,EQT
148,SLB
149,WIN
150,EL
151,WFC
152,ARO
153,WYNN
154,PSX
155,MRK
156,JNJ
157,SHLD
158,RSH
159,QCOM
160,TYC
161,BAC
162,NBR
163,CF
164,BRK-B
165,CA
166,SEE
167,FDO
168,DHI
169,SFLY
170,FE
171,BBY
172,DNB
173,IRM
174,DKS
175,SLM
176,TSLA
177,WLP
178,FB
179,DGX
180,CRM
181,BMS
182,EQR
183,HBAN
184,COST
185,ED
186,BAX
187,FL
188,DHR
189,ARG
190,SCG
191,WEC
192,MOS
193,WM
194,ICE
195,KRFT
196,R
197,STX
198,TE
199,COG
200,RHI
201,CCL
202,TMO
203,NTRI
204,CCE
205,AIZ
206,PHM
207,MSFT
208,TGT
209,ALL
210,BSX
211,CLF
212,SWY
213,FAST
214,SWK
215,SRCL
216,ABBV
217,AFL
218,GES
219,EXPR
220,MCD
221,VAR
222,WTW
223,STJ
224,IFF
225,PGR
226,EFX
227,MET
228,LYB
229,ACT
230,NFLX
231,VPRT
232,MCP
233,PNR
234,FISV
235,KEY
236,ACN
237,COH
238,HSP
239,ATVI
240,CINF
241,LIFE
242,TM
243,ACI
244,AEP
245,CHRW
246,RDC
247,COF
248,PRGO
249,VMC
250,HSY
251,T
252,HPQ
253,S
254,ORCL
255,CFN
256,DUK
257,TAP
258,NUE
259,ZMH
260,FFIV
261,MCK
262,A
263,DELL
264,AIG
265,CIM
266,EBAY
267,WY
268,F
269,NTRS
270,DPS
271,RF
272,MON
273,THC
274,RHT
275,JOSB
276,RAI
277,AEE
278,DRI
279,NRG
280,CMG
281,VITC
282,IBM
283,ADP
284,PEG
285,MKC
286,CMI
287,CAB
288,AMD
289,BWA
290,PCP
291,LLTC
292,HRL
293,PG
294,BXP
295,XOM
296,USB
297,FRX
298,VFC
299,MAC
300,SO
301,KMX
302,LRCX
303,DTE
304,PCL
305,BTU
306,HRB
307,NDAQ
308,PFG
309,WYN
310,TER
311,FTR
312,ROP
313,XEL
314,IGT
315,DTV
316,KMB
317,CMA
318,SPG
319,CAM
320,DLTR
321,TJX
322,WPO
323,SBUX
324,EMC
325,YUM
326,CMS
327,PH
328,FTI
329,BBBY
330,ROK
331,MDLZ
332,NWL
333,PCAR
334,MDT
335,TRIP
336,YHOO
337,TEG
338,ABT
339,ADM
340,AMP
341,CHK
342,OMC
343,HOG
344,NEE
345,MUR
346,WAG
347,CSX
348,AZO
349,MPC
350,KR
351,FCX
352,DOW
353,WMB
354,KSU
355,DLX
356,FLR
357,AN
358,TRV
359,GPC
360,HON
361,BA
362,CSC
363,APA
364,GE
365,SNE
366,SKS
367,JEC
368,HCP
369,NOK
370,PAYX
371,MYL
372,INTU
373,DD
374,PBCT
375,CPB
376,NILE
377,BEN
378,WDC
379,BIIB
380,ZION
381,APH
382,NFX
383,WHR
384,FLS
385,NVDA
386,JCI
387,NEM
388,KSS
389,AMGN
390,DOV
391,LEG
392,ALTR
393,PWR
394,UNH
395,NE
396,GRPN
397,HES
398,LEN
399,AA
400,NLY
401,CERN
402,NOV
403,AVB
404,HOT
405,GM
406,AVP
407,DIS
408,SAI
409,WAT
410,JOY
411,PXD
412,DE
413,SIRI
414,NOC
415,CSCO
416,CVS
417,GD
418,AVY
419,KO
420,IVZ
421,AXP
422,SYMC
423,ISRG
424,MOLX
425,MTB
426,TSO
427,HAS
428,NBL
429,EA
430,ARNA
431,LNC
432,BHI
433,CTXS
434,EXC
435,ESRX
436,BEAM
437,URBN
438,FDX
439,VIAB
440,TSS
441,BKS
442,MWV
443,NWSA
444,DNR
445,MNST
446,ADSK
447,BMC
448,SJM
449,ATI
450,ETN
451,XYL
452,BMY
453,PETM
454,XLNX
455,DDS
456,FMC
457,ITW
458,DAL
459,TSN
460,QEP
461,HAR
462,BBT
463,BRCM
464,MRO
465,NKE
466,LH
467,GWW
468,CL
469,PSA
470,BDX
471,ETR
472,FHN
473,LO
474,CB
475,PPG
476,OI
477,IP
478,JBL
479,CTL
480,OXY
481,M
482,GCI
483,WU
484,PBI
485,ADBE
486,EIX
487,C
488,STI
489,COV
490,DSW
491,D
492,DVA
493,TDC
494,V
495,SRE
496,ACE
497,AON
498,TMK
499,X
500,EXPD
501,SPLS
502,LUV
503,SIAL
504,PNW
505,RL
506,GIS
507,ECL
508,EOG
509,KIM
510,CLX
511,MCO
512,UTX
513,AEO
514,COP
515,ORLY
516,XRAY
517,LUK
518,JPM
519,FLIR
520,ROST
521,K
522,DVN
523,PNC
524,SWN
525,L
526,SCHL
527,COL
528,NSC
529,AES
530,EXPE
531,MJN
532,HUM
533,HST
534,LSI
535,STT
536,AET
537,PCLN
538,FOSL
539,CCI
540,P
541,AIV
542,SCHW
543,STZ
544,GLW
545,DLPH
546,PKI
547,NYX
548,XL
549,VNO
